nta_code,nta_name,borough_name,rent_burden_50plus_pct,rank
BK1202,Borough Park,Brooklyn,0.4258624309005668,1
BK0103,South Williamsburg,Brooklyn,0.4133391838525669,2
BX0601,West Farms,Bronx,0.3948693736229147,3
BX0401,Concourse-Concourse Village,Bronx,0.3861793848925492,4
BX0603,Belmont,Bronx,0.382217287324906,5
QN0701,College Point,Queens,0.3821908750275512,6
BX0701,University Heights (North)-Fordham,Bronx,0.3759138911454102,7
BX0602,Tremont,Bronx,0.3700352414515668,8
BX0102,Melrose,Bronx,0.3675950798812385,9
BX0703,Norwood,Bronx,0.3654333145751266,10
BX1201,Williamsbridge-Olinville,Bronx,0.3644872677219545,11
BX0301,Morrisania,Bronx,0.3626239635831572,12
QN0705,East Flushing,Queens,0.3600881334592383,13
BX0501,University Heights (South)-Morris Heights,Bronx,0.3592544625260431,14
BX0503,Fordham Heights,Bronx,0.3576532531026701,15
BX0802,Kingsbridge-Marble Hill,Bronx,0.3555987894509295,16
BX0702,Bedford Park,Bronx,0.3514330380406462,17
BK1303,Brighton Beach,Brooklyn,0.3469508584961516,18
BK1002,Dyker Heights,Brooklyn,0.3462155461572116,19
BK1704,East Flatbush-Remsen Village,Brooklyn,0.3442885059513235,20
BX0502,Mount Hope,Bronx,0.3438916799411837,21
BX1003,Pelham Bay-Country Club-City Island,Bronx,0.34130859375,22
BK1301,Gravesend (South),Brooklyn,0.3388517618469016,23
QN1307,Rosedale,Queens,0.3385258358662614,24
BX0202,Longwood,Bronx,0.3372010419133318,25
BX0403,Mount Eden-Claremont (West),Bronx,0.3349621595852452,26
BX0901,Soundview-Bruckner-Bronx River,Bronx,0.333839078279835,27
BX0101,Mott Haven-Port Morris,Bronx,0.3337180709590003,28
BK0501,Cypress Hills,Brooklyn,0.3317829457364341,29
BK1403,Midwood,Brooklyn,0.3305295201474004,30
QN0903,South Richmond Hill,Queens,0.3304896142433234,31
BK0502,East New York (North),Brooklyn,0.3294036061026352,32
QN0902,Richmond Hill,Queens,0.3281874318924809,33
BX1001,Westchester Square,Bronx,0.3257918552036199,34
BK1502,Madison,Brooklyn,0.3253745888658789,35
QN0707,Flushing-Willets Point,Queens,0.3242591500991372,36
BK1602,Brownsville,Brooklyn,0.3237305234839143,37
QN0301,Jackson Heights,Queens,0.3226350537323502,38
BK1102,Bath Beach,Brooklyn,0.3221676343605776,39
QN1303,Queens Village,Queens,0.3217164016554127,40
QN1001,South Ozone Park,Queens,0.321273516642547,41
QN0302,East Elmhurst,Queens,0.3182314410480349,42
QN0601,Rego Park,Queens,0.3177453027139875,43
BK1501,Gravesend (East)-Homecrest,Brooklyn,0.3177175061641423,44
BK1103,Gravesend (West),Brooklyn,0.317452141814748,45
QN1201,Jamaica,Queens,0.3151715140818049,46
BX0201,Hunts Point,Bronx,0.3150714595062798,47
BX1104,Allerton,Bronx,0.3149075975359343,48
BK0703,Sunset Park (Central),Brooklyn,0.3119886880113119,49
BK1703,East Flatbush-Rugby,Brooklyn,0.3118231550742436,50
QN1304,Cambria Heights,Queens,0.3101123595505618,51
BK1702,East Flatbush-Farragut,Brooklyn,0.3100584435558289,52
QN0402,Corona,Queens,0.3097172366018011,53
BX0903,Castle Hill-Unionport,Bronx,0.309664461247637,54
MN0902,Manhattanville-West Harlem,Manhattan,0.307729410346075,55
BX0303,Crotona Park East,Bronx,0.3077077478924127,56
BK1203,Kensington,Brooklyn,0.3070413366605186,57
BK1101,Bensonhurst,Brooklyn,0.305652477320307,58
QN0702,Whitestone-Beechhurst,Queens,0.3056057866184448,59
BK1204,Mapleton-Midwood (West),Brooklyn,0.3045242747632647,60
QN0704,Murray Hill-Broadway Flushing,Queens,0.3036367330353515,61
