feature,mean_abs_shap
rent_burden_30plus_pct,0.084808744
vacancy_rate,0.011315392
rent_to_income_ratio,0.0094056465
rent_burden_30plus_pct_lag1,0.007086229
median_gross_rent,0.0050851847
gini_coefficient,0.0024518606
housing_burden_composite,0.002382714
renter_median_income,0.0021609638
renter_income_ratio,0.0019761652
median_gross_rent_lag1,0.0017947792
median_contract_rent,0.0014836652
transit_commute_rate,0.00117415
rent_growth_yoy,0.0011090791
unemployment_rate,0.0010041834
median_hh_income,0.00086065783
severe_crowding_rate,0.0006388093
income_gap,0.0005053722
vacancy_rate_lag1,0.00047902128
median_hh_income_lag1,0.00037550862
renter_median_income_lag1,0.0003753951
homeownership_rate,0.00036411922
market_tightness,0.0003363005
renter_share,0.00027181525
unemployment_rate_lag1,0.0002565467
renter_vulnerability,0.00016158185
income_growth_yoy,7.847176e-05
year,5.6110457e-05
eviction_rate,0.0
borough_code,0.0
covid_year,0.0
